total_len,psh_rate,up_down_num_rate,up_time_min,down_time_min,up_len_sum,up_len_max,up_len_mean,down_len_max,down_len_mean,label
3565,0.5,1,0.395768881,0.395379066,462,161,51.33333333,643,344.7777778,1
2562,0.5,1,0.251924038,0.252285957,603,161,67,577,217.6666667,1
4776,0.5,1,0.570070982,0.570071936,160,20,20,577,577,1
3291,0.5,1,0.393749952,0.393303156,623,161,62.3,643,266.8,1
5306,0.5,1,0.146064997,0.145663977,522,161,43.5,577,398.6666667,1
2048,0.5,1,0.391241074,0.390879869,241,161,48.2,577,361.4,1
2711,0.5,1,0.347665071,0.347669125,261,161,43.5,643,408.3333333,1
1111,0.5,1,0.39481616,0.394371033,382,161,76.4,577,145.8,1
1194,0.5,1,4.38173914,4.38181901,40,20,20,577,577,1
1451,0.5,1,0.394345045,0.393568039,221,161,55.25,577,307.5,1
1434,0.5,1,0.395512104,0.395036936,563,161,80.42857143,643,124.4285714,1
1517,0.5,1,0.395669937,0.395309925,221,161,55.25,643,324,1
1194,0.5,1,12.30391884,12.30391192,40,20,20,577,577,1
3582,0.5,1,0.948786974,0.948776007,120,20,20,577,577,1
1194,0.5,1,6.586417913,6.586432934,40,20,20,577,577,1
2388,0.5,1,1.341356039,1.341355801,80,20,20,577,577,1
2048,0.5,1,0.3912251,0.390795946,241,161,48.2,577,361.4,1
2305,0.5,1,0.409170866,0.408698082,422,161,60.28571429,577,269,1
2388,0.5,1,0.85749507,0.857478142,80,20,20,577,577,1
2652,0.5,1,0.26009798,0.260097027,80,20,20,643,643,1
1260,0.5,1,9.633338928,9.633315802,40,20,20,643,610,1
1558,0.5,1,0.189179182,0.189191103,241,161,48.2,577,263.4,1
1451,0.5,1,0.403652191,0.403231144,221,161,55.25,577,307.5,1
1194,0.5,1,5.387741089,5.387731075,40,20,20,577,577,1
2918,0.5,1,0.096074104,0.09563303,442,161,55.25,577,309.5,1
2048,0.5,1,0.406067133,0.405704021,241,161,48.2,577,361.4,1
3308,0.5,1,0.237164974,0.23758316,281,161,40.14285714,643,432.4285714,1
3515,0.5,1,0.186711073,0.186695099,462,161,51.33333333,577,339.2222222,1
2562,0.5,1,0.392051935,0.391612053,603,161,67,577,217.6666667,1
2048,0.5,1,0.401912928,0.401496887,241,161,48.2,577,361.4,1
