ip1,ip2,port1,port2,total_num,total_len,flow_time,psh_rate,up_down_len_rate,up_down_num_rate,flow_pkts_rate,flow_bytes_rate,up_time_max,up_time_min,up_time_mean,down_time_max,down_time_min,down_time_mean,up_len_sum,up_len_max,up_len_min,up_len_mean,down_len_sum,down_len_max,down_len_min,down_len_mean,label
192.168.23.177,107.174.170.252,43896,3333,20,4617,14.81673002,0.5,0.116565901,1,1.349825499,311.6072165,4.23664403,0.235116005,1.646303336,4.236641884,0.234729052,1.646251573,482,161,20,48.2,4135,577,20,413.5,1
107.174.170.252,192.168.23.177,3333,43896,12,1732,14.53819704,0.5,0.17743032,1,0.825411842,119.1344425,10.0103879,0.001560926,2.907632589,10.01038003,0.001913071,2.907632399,261,161,20,43.5,1471,643,20,245.1666667,1
107.174.170.252,192.168.23.177,3333,43896,16,3971,12.85572314,0.5,0.082016349,1,1.244581874,308.8896638,4.367655993,0.189492941,1.836527143,4.367666006,0.189491987,1.836522443,301,161,20,37.625,3670,643,20,458.75,1
107.174.170.252,192.168.23.177,3333,43896,8,1451,6.440866947,0.5,0.179674797,1,1.242068819,225.280232,3.94619894,0.405640125,2.146943649,3.946192026,0.405271053,2.146939993,221,161,20,55.25,1230,577,20,307.5,1
107.174.170.252,192.168.23.177,3333,43896,8,1584,14.36271286,0.5,0.162142333,1,0.556997837,110.2855718,7.267424107,0.424021959,4.787552675,7.267859936,0.423600912,4.787551324,221,161,20,55.25,1363,710,20,340.75,1
107.174.170.252,192.168.23.177,3333,43896,32,5820,13.41279602,0.5,0.179092382,1,2.385781455,433.9140021,3.395122051,0.197081804,0.894184065,3.395144939,0.197082043,0.894184065,884,161,20,55.25,4936,577,20,308.5,1
192.168.23.177,107.174.170.252,43896,3333,22,2819,13.00240421,0.5,0.385257985,1,1.691994776,216.8060579,6.215132952,0.296260834,1.300240421,6.215538979,0.296310902,1.300193,784,161,20,71.27272727,2035,577,20,185,1
107.174.170.252,192.168.23.177,3333,43896,12,2661,14.29500294,0.5,0.10875,1,0.839454182,186.1489649,6.251140118,0.188021898,2.858993387,6.251140118,0.188029051,2.858993626,261,161,20,43.5,2400,577,20,400,1
192.168.23.177,107.174.170.252,43896,3333,30,3779,14.19679213,0.5,0.362292718,1,2.113153432,266.186894,2.624696016,0.18958497,1.01405658,2.624698162,0.189585924,1.014023576,1005,161,20,67,2774,577,20,184.9333333,1
107.174.170.252,192.168.23.177,3333,43896,10,2985,10.80486202,0.5,0.034662045,1,0.925509273,276.2645181,6.625559092,0.641373873,2.701197743,6.625549078,0.641392946,2.701204002,100,20,20,20,2885,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,12,3714,13.59771204,0.5,0.033388982,1,0.882501406,273.1341853,6.91416502,0.212887049,2.719534779,6.914168835,0.212886095,2.719535398,120,20,20,20,3594,643,577,599,1
107.174.170.252,192.168.23.177,3333,43896,16,2984,6.990417004,0.5,0.173878836,1,2.288847717,426.8700992,2.218469143,0.183148146,0.998625721,2.218476057,0.18276906,0.998625721,442,161,20,55.25,2542,643,20,317.75,1
192.168.23.177,107.174.170.252,43896,3333,14,2305,13.14852595,0.5,0.224110462,1,1.064758137,175.3048219,5.621340036,0.393804789,2.191420992,5.621356964,0.393396854,2.191353997,422,161,20,60.28571429,1883,577,20,269,1
107.174.170.252,192.168.23.177,3333,43896,14,4179,14.26925302,0.5,0.034662045,1,0.981130546,292.8674679,5.340035915,0.639982939,2.378202995,5.340031147,0.639984846,2.378202518,140,20,20,20,4039,577,577,577,1
192.168.23.177,107.174.170.252,43896,3333,18,2644,14.001261,0.5,0.29544341,1,1.28559849,188.8401338,4.465905905,0.147509098,1.750157624,4.466520071,0.147104025,1.750099748,603,161,20,67,2041,643,20,226.7777778,1
107.174.170.252,192.168.23.177,3333,43896,12,3582,10.67313194,0.5,0.034662045,1,1.124318528,335.6090807,5.369848967,0.564515114,2.134615803,5.369847059,0.564516068,2.134618807,120,20,20,20,3462,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,12,2645,11.489645,0.5,0.109479866,1,1.044418691,230.2072866,5.688574076,0.405241013,2.297921801,5.688577175,0.404809952,2.29792161,261,161,20,43.5,2384,577,20,397.3333333,1
107.174.170.252,192.168.23.177,3333,43896,18,4502,11.77099991,0.5,0.076775891,1,1.5291819,382.465384,3.94209981,0.431653023,1.471369743,3.942102194,0.431291103,1.471370637,321,161,20,35.66666667,4181,643,20,464.5555556,1
192.168.23.177,107.174.170.252,43896,3333,12,1708,8.26061511,0.5,0.307810107,1,1.452676325,206.7642636,4.043344975,0.309559822,1.652123022,4.043349028,0.309939861,1.652036619,402,161,20,67,1306,577,20,217.6666667,1
107.174.170.252,192.168.23.177,3333,43896,14,3308,13.23728395,0.5,0.092831186,1,1.057618773,249.9002072,4.96619606,0.395734072,2.20620815,4.966021061,0.395360947,2.206207991,281,161,20,40.14285714,3027,643,20,432.4285714,1
107.174.170.252,192.168.23.177,3333,43896,6,1791,12.26176095,0.5,0.034662045,1,0.489326127,146.063849,7.425013065,4.836682081,6.130847573,7.425021887,4.836700916,6.130861402,60,20,20,20,1731,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,18,3499,12.74691582,0.5,0.152123806,1,1.41210629,274.4977727,4.963062048,0.119791985,1.593344003,4.963102102,0.120181084,1.593359739,462,161,20,51.33333333,3037,577,20,337.4444444,1
107.174.170.252,192.168.23.177,3333,43896,4,1194,0.923955917,0.5,0.034662045,1,4.329210869,1292.269444,0.923918009,0.923918009,0.923918009,0.923902988,0.923902988,0.923902988,40,20,20,20,1154,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,10,2048,10.73505211,0.5,0.133370227,1,0.931527849,190.7769035,6.802769899,0.393280029,2.683749497,6.80274415,0.392866135,2.683747292,241,161,20,48.2,1807,577,20,361.4,1
107.174.170.252,192.168.23.177,3333,43896,6,1857,11.97121,0.5,0.033388982,1,0.501202468,155.1221639,6.832237005,5.138900042,5.985568523,6.832254887,5.138916016,5.985585451,60,20,20,20,1797,643,577,599,1
192.168.23.177,107.174.170.252,43896,3333,8,1451,13.16993809,0.5,0.179674797,1,0.60744401,110.1751573,8.072101116,0.408067942,4.389979362,8.071841002,0.407716036,4.389771382,221,161,20,55.25,1230,577,20,307.5,1
107.174.170.252,192.168.23.177,3333,43896,12,2711,11.21555591,0.5,0.106530612,1,1.069942507,241.7178446,7.742614985,0.188914061,2.243100595,7.742632866,0.18887496,2.243103409,261,161,20,43.5,2450,643,20,408.3333333,1
192.168.23.177,107.174.170.252,43896,3333,8,1451,9.749245882,0.5,0.179674797,1,0.820576288,148.8320243,8.658909082,0.417721987,3.249748627,8.658734083,0.416718006,3.249418656,221,161,20,55.25,1230,577,20,307.5,1
192.168.23.177,107.174.170.252,43896,3333,10,2114,14.53473592,0.5,0.128670582,1,0.688006996,145.444679,9.679587841,0.40464592,3.63368398,9.679565191,0.403869152,3.633528531,241,161,20,48.2,1873,643,20,374.6,1
107.174.170.252,192.168.23.177,3333,43896,18,5439,13.02947998,0.5,0.034227039,1,1.381482609,417.4379951,3.835906982,0.389247179,1.628677487,3.83590889,0.389234066,1.628677994,180,20,20,20,5259,643,577,584.3333333,1
107.174.170.252,192.168.23.177,3333,43896,14,3242,11.65779209,0.5,0.094900371,1,1.200913508,278.0972567,4.951625109,0.400745869,1.942954818,4.951888084,0.399749994,1.942933679,281,161,20,40.14285714,2961,577,20,423,1
107.174.170.252,192.168.23.177,3333,43896,6,1791,13.54951811,0.5,0.034662045,1,0.442820176,132.1818227,11.55916405,1.990307093,6.77473557,11.5591321,1.990328074,6.774730086,60,20,20,20,1731,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,8,2388,12.19882488,0.5,0.034662045,1,0.655800872,195.7565604,7.280041933,0.388520002,4.066262643,7.280045986,0.388519049,4.066262643,80,20,20,20,2308,577,577,577,1
192.168.23.177,107.174.170.252,43896,3333,16,2478,14.1408,0.5,0.217092338,1,1.13147771,175.2376103,6.262280941,0.188945055,2.020114286,6.262280941,0.188944101,2.020054272,442,161,20,55.25,2036,643,20,254.5,1
107.174.170.252,192.168.23.177,3333,43896,18,3499,13.7579329,0.5,0.152123806,1,1.30833608,254.3259969,4.902901888,0.396042109,1.719737113,4.903349161,0.395591974,1.71972537,462,161,20,51.33333333,3037,577,20,337.4444444,1
107.174.170.252,192.168.23.177,3333,43896,6,1791,13.76522994,0.5,0.034662045,1,0.435880841,130.110431,7.100993156,6.664199829,6.882596493,7.10099411,6.664201975,6.882598042,60,20,20,20,1731,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,24,3929,13.86294794,0.5,0.203000612,1,1.731233508,283.4173523,3.239840031,0.189813137,1.260262468,3.239813089,0.189783096,1.26026327,663,161,20,55.25,3266,643,20,272.1666667,1
107.174.170.252,192.168.23.177,3333,43896,10,2048,14.27435994,0.5,0.133370227,1,0.700556805,143.4740337,9.167259932,0.412798166,3.568581283,9.167642117,0.412410021,3.568579495,241,161,20,48.2,1807,577,20,361.4,1
107.174.170.252,192.168.23.177,3333,43896,8,2388,11.85303998,0.5,0.034662045,1,0.674932339,201.4673032,8.886619091,0.394603968,3.951001644,8.886597157,0.394622803,3.951000293,80,20,20,20,2308,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,8,2388,11.49558496,0.5,0.034662045,1,0.695919349,207.7319255,6.705416918,0.567433119,3.831849655,6.705415964,0.567433119,3.831849337,80,20,20,20,2308,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,16,2412,14.80629206,0.5,0.224365482,1,1.080621667,162.9037163,6.90039587,0.205789089,2.115178449,6.900403976,0.205764055,2.11517913,442,161,20,55.25,1970,577,20,246.25,1
192.168.23.177,107.174.170.252,43896,3333,10,2048,14.71624589,0.5,0.133370227,1,0.679521128,139.1659269,6.302301884,0.392379999,3.679061472,6.302298069,0.391993046,3.678964972,241,161,20,48.2,1807,577,20,361.4,1
107.174.170.252,192.168.23.177,3333,43896,10,2181,14.05335689,0.5,0.124226804,1,0.71157376,155.1942371,10.06504798,0.393968105,3.513329744,10.0654099,0.393599987,3.51333046,241,161,20,48.2,1940,710,20,388,1
192.168.23.177,107.174.170.252,43896,3333,10,1127,1.49712491,0.5,0.512751678,1,6.679469382,752.7761994,0.490571022,0.190147877,0.374281228,0.490159035,0.190149069,0.374178767,382,161,20,76.4,745,577,20,149,1
107.174.170.252,192.168.23.177,3333,43896,8,2038,14.74903202,0.5,0.121629059,1,0.542408477,138.1785596,7.275952101,3.594198942,4.916234016,7.275955915,3.594192028,4.916344007,221,161,20,55.25,1817,643,20,454.25,1
107.174.170.252,192.168.23.177,3333,43896,2,76,7.39E-05,0.5,0.357142857,1,27060.02581,1028280.981,0,0,0,0,0,0,20,20,20,20,56,56,56,56,1
